uframe_route,filename_mask,reference_designator,data_source,
Ingest.mopak-o-dcl_telemetered,/omc_data/whoi/OMC/CE07SHSM/D00003/cg_data/dcl11/mopak/*.mopak.log,CE07SHSM-SBD11-01-MOPAK0000,telemetered,
Ingest.hyd-o-dcl_telemetered,/omc_data/whoi/OMC/CE07SHSM/D00003/cg_data/dcl11/hyd1/*.hyd*.log,CE07SHSM-SBD11-02-HYDGN0000,telemetered,
Ingest.velpt-ab-dcl_telemetered,/omc_data/whoi/OMC/CE07SHSM/D00003/cg_data/dcl11/velpt1/*.velpt*.log,CE07SHSM-SBD11-04-VELPTA000,telemetered,
Ingest.metbk-a-dcl_telemetered,/omc_data/whoi/OMC/CE07SHSM/D00003/cg_data/dcl11/metbk/*.metbk.log,CE07SHSM-SBD11-06-METBKA000,telemetered,
# ,,,,
Ingest.hyd-o-dcl_telemetered,/omc_data/whoi/OMC/CE07SHSM/D00003/cg_data/dcl12/hyd2/*.hyd*.log,CE07SHSM-SBD12-03-HYDGN0000,telemetered,
Ingest.pco2a-a-dcl_telemetered,/omc_data/whoi/OMC/CE07SHSM/D00003/cg_data/dcl12/pco2a/*.pco2a.log,CE07SHSM-SBD12-04-PCO2AA000,telemetered,
Ingest.wavss-a-dcl-full_telemetered,/omc_data/whoi/OMC/CE07SHSM/D00003/cg_data/dcl12/wavss/*.wavss.log,CE07SHSM-SBD12-05-WAVSSA000,telemetered,
# ,,,,
Ingest.adcpt-acfgm-dcl-pd0_telemetered,/omc_data/whoi/OMC/CE07SHSM/D00003/cg_data/dcl26/adcpt1/*.adcpt*.log,CE07SHSM-RID26-01-ADCPTA000,telemetered,
# Ingest.velpt-ab-dcl_telemetered,/omc_data/whoi/OMC/CE07SHSM/D00003/cg_data/dcl26/velpt2/*.velpt*.log,CE07SHSM-RID26-04-VELPTA000,telemetered,VELPT2 failed immediately upon deployment
Ingest.phsen-abcdef-dcl_telemetered,/omc_data/whoi/OMC/CE07SHSM/D00003/cg_data/dcl26/phsen1/*.phsen*.log,CE07SHSM-RID26-06-PHSEND000,telemetered,
Ingest.nutnr-b-dcl-conc_telemetered,/omc_data/whoi/OMC/CE07SHSM/D00003/cg_data/dcl26/nutnr/*.nutnr.log,CE07SHSM-RID26-07-NUTNRB000,telemetered,
Ingest.spkir-abj-dcl_telemetered,/omc_data/whoi/OMC/CE07SHSM/D00003/cg_data/dcl26/spkir/*.spkir.log,CE07SHSM-RID26-08-SPKIRB000,telemetered,
# ,,,,
Ingest.optaa-dj-dcl_telemetered,/omc_data/whoi/OMC/CE07SHSM/D00003/cg_data/dcl27/optaa1/*.optaa*.log,CE07SHSM-RID27-01-OPTAAD000,telemetered,
