parser,filename_mask,reference_designator,data_source,status,notes
#mi.dataset.driver.cg_cpm_eng.cpm.cg_cpm_eng_cpm_recovered_driver,/omc_data/whoi/OMC/CP04OSSM/R00002/cg_data/cpm3/syslog/cpm_status*.txt,CP04OSSM-MFC31-00-CPMENG000,recovered_host,Not Expected,MFN failed shortly after deployment; no recovered_host data expected
#mi.dataset.driver.cg_dcl_eng.dcl.cg_dcl_eng_dcl_recovered_driver,/omc_data/whoi/OMC/CP04OSSM/R00002/cg_data/dcl35/syslog/*.syslog.log,CP04OSSM-MFD35-00-DCLENG000,recovered_host,Not Expected,MFN failed shortly after deployment; no recovered_host data expected
#mi.dataset.driver.adcpt_acfgm.dcl.pd8.adcpt_acfgm_dcl_pd8_recovered_driver,/omc_data/whoi/OMC/CP04OSSM/R00002/cg_data/dcl35/ADCP_sn22642/*.adcp.log,CP04OSSM-MFD35-01-ADCPSJ000,recovered_host,Not Expected,MFN failed shortly after deployment; no recovered_host data expected
mi.dataset.driver.adcps_jln.adcps_jln_driver,/omc_data/whoi/OMC/CP04OSSM/R00002/cg_data/dcl35/ADCP_sn22642/_RDI*.000,CP04OSSM-MFD35-01-ADCPSJ000,recovered_inst,Available,
#mi.dataset.driver.presf_abc.dcl.presf_abc_dcl_recovered_driver,/omc_data/whoi/OMC/CP04OSSM/R00002/cg_data/dcl35/PRESF_sn26-1400/*.presf.log,CP04OSSM-MFD35-02-PRESFC000,recovered_host,Not Expected,MFN failed shortly after deployment; no recovered_host data expected
mi.dataset.driver.presf_abc.presf_abc_recovered_driver,/omc_data/whoi/OMC/CP04OSSM/R00002/cg_data/dcl35/PRESF_sn26-1400/PRESF*.hex,CP04OSSM-MFD35-02-PRESFC000,recovered_inst,Available,
#mi.dataset.driver.velpt_ab.dcl.velpt_ab_dcl_recovered_driver,/omc_data/whoi/OMC/CP04OSSM/R00002/cg_data/dcl35/VELPT_sn9984/*.velpt2.log,CP04OSSM-MFD35-04-VELPTB000,recovered_host,Not Expected,MFN failed shortly after deployment; no recovered_host data expected
mi.dataset.driver.velpt_ab.velpt_ab_recovered_driver,/omc_data/whoi/OMC/CP04OSSM/R00002/cg_data/dcl35/VELPT_sn9984/*.aqd,CP04OSSM-MFD35-04-VELPTB000,recovered_inst,Available,
#mi.dataset.driver.pco2w_abc.dcl.pco2w_abc_dcl_recovered_driver,/omc_data/whoi/OMC/CP04OSSM/R00002/cg_data/dcl35/PCO2W_snC0099/*.pco2w.log,CP04OSSM-MFD35-05-PCO2WB000,recovered_host,Not Expected,MFN failed shortly after deployment; no recovered_host data expected
mi.dataset.driver.pco2w_abc.pco2w_abc_recovered_driver,/omc_data/whoi/OMC/CP04OSSM/R00002/cg_data/dcl35/PCO2W_snC0099/SAMI*.txt,CP04OSSM-MFD35-05-PCO2WB000,recovered_inst,Available,
