uframe_route,parser,filename_mask,reference_designator,data_source,status,notes
Ingest.dbg-pdbg-cspp_recovered,mi.dataset.driver.dbg_pdbg.cspp.dbg_pdbg_cspp_recovered_driver,/omc_data/whoi/OMC/CE06ISSP/R00005/extract/*PDBG.txt,CE06ISSP-SP001-00-SPPENG000,recovered_cspp,Available,
Ingest.wc-hmr-cspp_recovered,mi.dataset.driver.wc_hmr.cspp.wc_hmr_cspp_recovered_driver,/omc_data/whoi/OMC/CE06ISSP/R00005/extract/*WC_HMR.txt,CE06ISSP-SP001-00-SPPENG000,recovered_cspp,Available,
Ingest.wc-sbe-cspp_recovered,mi.dataset.driver.wc_sbe.cspp.wc_sbe_cspp_recovered_driver,/omc_data/whoi/OMC/CE06ISSP/R00005/extract/*WC_SBE.txt,CE06ISSP-SP001-00-SPPENG000,recovered_cspp,Available,
Ingest.wc-wm-cspp_recovered,mi.dataset.driver.wc_wm.cspp.wc_wm_cspp_recovered_driver,/omc_data/whoi/OMC/CE06ISSP/R00005/extract/*WC_WM.txt,CE06ISSP-SP001-00-SPPENG000,recovered_cspp,Available,
Ingest.dosta-abcdjm-cspp_recovered,mi.dataset.driver.dosta_abcdjm.cspp.dosta_abcdjm_cspp_recovered_driver,/omc_data/whoi/OMC/CE06ISSP/R00005/extract/*OPT.txt,CE06ISSP-SP001-02-DOSTAJ000,recovered_cspp,Available,
Ingest.optaa-dj-cspp_recovered,mi.dataset.driver.optaa_dj.cspp.optaa_dj_cspp_recovered_driver,/omc_data/whoi/OMC/CE06ISSP/R00005/extract/*ACS.txt,CE06ISSP-SP001-04-OPTAAJ000,recovered_cspp,Available,
Ingest.velpt-j-cspp_recovered,mi.dataset.driver.velpt_j.cspp.velpt_j_cspp_recovered_driver,/omc_data/whoi/OMC/CE06ISSP/R00005/extract/*ADCP.txt,CE06ISSP-SP001-05-VELPTJ000,recovered_cspp,Available,
Ingest.nutnr-j-cspp_recovered,mi.dataset.driver.nutnr_j.cspp.nutnr_j_cspp_recovered_driver,/omc_data/whoi/OMC/CE06ISSP/R00005/extract/*SNA.txt,CE06ISSP-SP001-06-NUTNRJ000,recovered_cspp,Available,
Ingest.spkir-abj-cspp_recovered,mi.dataset.driver.spkir_abj.cspp.spkir_abj_cspp_recovered_driver,/omc_data/whoi/OMC/CE06ISSP/R00005/extract/*OCR.txt,CE06ISSP-SP001-07-SPKIRJ000,recovered_cspp,Available,
Ingest.flort-dj-cspp_recovered,mi.dataset.driver.flort_dj.cspp.flort_dj_cspp_recovered_driver,/omc_data/whoi/OMC/CE06ISSP/R00005/extract/*TRIP.txt,CE06ISSP-SP001-08-FLORTJ000,recovered_cspp,Available,
Ingest.ctdpf-j-cspp_recovered,mi.dataset.driver.ctdpf_j.cspp.ctdpf_j_cspp_recovered_driver,/omc_data/whoi/OMC/CE06ISSP/R00005/extract/*CTD.txt,CE06ISSP-SP001-09-CTDPFJ000,recovered_cspp,Available,
Ingest.parad-j-cspp_recovered,mi.dataset.driver.parad_j.cspp.parad_j_cspp_recovered_driver,/omc_data/whoi/OMC/CE06ISSP/R00005/extract/*PARS.txt,CE06ISSP-SP001-10-PARADJ000,recovered_cspp,Available,
