uframe_route,filename_mask,reference_designator,data_source,status,notes
#Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GA03FLMA/D00003/*status_1487901.dat,GA03FLMA-RIM01-00-SIOENG000,telemetered,Not Expected,No data expected due to glider failures
#Ingest.adcps-jln-sio_telemetered,/omc_data/whoi/OMC/GA03FLMA/D00003/*adcps*.dat,GA03FLMA-RIM01-02-ADCPSL003,telemetered,Not Expected,No data expected due to glider failures
#,/omc_data/whoi/OMC/GA03FLMA/D00003/*ctdmo*.dat,GA03FLMA-RIM01-02-CTDMOG040,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No data expected due to glider failures
#,/omc_data/whoi/OMC/GA03FLMA/D00003/*ctdmo*.dat,GA03FLMA-RIM01-02-CTDMOG041,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No data expected due to glider failures
#,/omc_data/whoi/OMC/GA03FLMA/D00003/*ctdmo*.dat,GA03FLMA-RIM01-02-CTDMOG042,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No data expected due to glider failures
#,/omc_data/whoi/OMC/GA03FLMA/D00003/*ctdmo*.dat,GA03FLMA-RIM01-02-CTDMOG043,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No data expected due to glider failures
#,/omc_data/whoi/OMC/GA03FLMA/D00003/*ctdmo*.dat,GA03FLMA-RIM01-02-CTDMOG044,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No data expected due to glider failures
#,/omc_data/whoi/OMC/GA03FLMA/D00003/*ctdmo*.dat,GA03FLMA-RIM01-02-CTDMOG045,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No data expected due to glider failures
#,/omc_data/whoi/OMC/GA03FLMA/D00003/*ctdmo*.dat,GA03FLMA-RIM01-02-CTDMOG046,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No data expected due to glider failures
#,/omc_data/whoi/OMC/GA03FLMA/D00003/*ctdmo*.dat,GA03FLMA-RIM01-02-CTDMOG047,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No data expected due to glider failures
#,/omc_data/whoi/OMC/GA03FLMA/D00003/*ctdmo*.dat,GA03FLMA-RIM01-02-CTDMOG048,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No data expected due to glider failures
#,/omc_data/whoi/OMC/GA03FLMA/D00003/*ctdmo*.dat,GA03FLMA-RIM01-02-CTDMOH049,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No data expected due to glider failures
#,/omc_data/whoi/OMC/GA03FLMA/D00003/*ctdmo*.dat,GA03FLMA-RIM01-02-CTDMOH050,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No data expected due to glider failures
#,/omc_data/whoi/OMC/GA03FLMA/D00003/*ctdmo*.dat,GA03FLMA-RIM01-02-CTDMOH051,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No data expected due to glider failures
#Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GA03FLMA/D00003/*status_1487501.dat,GA03FLMA-RIS01-00-SIOENG000,telemetered,Not Expected,No data expected due to glider failures
#Ingest.dosta-abcdjm-sio_telemetered,/omc_data/whoi/OMC/GA03FLMA/D00003/*dosta*.dat,GA03FLMA-RIS01-03-DOSTAD000,telemetered,Not Expected,No data expected due to glider failures
#Ingest.phsen-abcdef-sio_telemetered,/omc_data/whoi/OMC/GA03FLMA/D00003/*phsen*.dat,GA03FLMA-RIS01-04-PHSENF000,telemetered,Not Expected,No data expected due to glider failures
#Ingest.flort-dj-sio_telemetered,/omc_data/whoi/OMC/GA03FLMA/D00003/*flort*.dat,GA03FLMA-RIS01-05-FLORTD000,telemetered,Not Expected,No data expected due to glider failures
