uframe_route,filename_mask,reference_designator,data_source
Ingest.vel3d-k-wfp-stc_recovered,/omc_data/whoi/OMC/CP02PMUO/R00004/dcl00/CWFP*/A*.DAT,CP02PMUO-WFP01-01-VEL3DK000,recovered
Ingest.ctdpf-ckl-wfp_recovered,/omc_data/whoi/OMC/CP02PMUO/R00004/dcl00/CWFP*/C*.DAT,CP02PMUO-WFP01-03-CTDPFK000,recovered
Ingest.dofst-k-wfp_recovered,/omc_data/whoi/OMC/CP02PMUO/R00004/dcl00/CWFP*/C*.DAT,CP02PMUO-WFP01-02-DOFSTK000,recovered
Ingest.wfp-eng-stc-imodem_recovered,/omc_data/whoi/OMC/CP02PMUO/R00004/dcl00/CWFP*/E*.DAT,CP02PMUO-WFP01-00-WFPENG000,recovered
Ingest.flort-kn-stc-imodem_recovered,/omc_data/whoi/OMC/CP02PMUO/R00004/dcl00/CWFP*/E*.DAT,CP02PMUO-WFP01-04-FLORTK000,recovered
Ingest.parad-k-stc-imodem_recovered,/omc_data/whoi/OMC/CP02PMUO/R00004/dcl00/CWFP*/E*.DAT,CP02PMUO-WFP01-05-PARADK000,recovered
Ingest.adcps-jln_recovered,/omc_data/whoi/OMC/CP02PMUO/R00004/dcl00/ADCP*/*_Recovered_Data_RDI_000.000,CP02PMUO-RII01-01-ADCPTL000,recovered
Ingest.mopak-o-dcl_recovered,/omc_data/whoi/OMC/CP02PMUO/R00004/dcl00/cg_data/3dmgx3/*_*.3dmgx3.log,CP02PMUO-SBS01-01-MOPAK0000,recovered
Ingest.cg-stc-eng-stc_recovered,/omc_data/whoi/OMC/CP02PMUO/R00004/dcl00/cg_data/irid2shore/stc_status.*_*.txt,CP02PMUO-SBS01-00-STCENG000,recovered
Ingest.rte-o-dcl_recovered,/omc_data/whoi/OMC/CP02PMUO/R00004/rte/*.rte.log,CP02PMUO-SBS01-00-RTE000000,recovered
