parser,filename_mask,reference_designator,data_source,status,notes
#mi.dataset.driver.sio_eng.sio.sio_eng_sio_telemetered_driver,/omc_data/whoi/OMC/GS03FLMA/D00003/*.status_1398901.dat,GS03FLMA-RIM01-00-SIOENG000,telemetered,Not Expected,No telemetered data expected (no gliders deployed)
#mi.dataset.driver.adcps_jln.sio.adcps_jln_sio_telemetered_driver,/omc_data/whoi/OMC/GS03FLMA/D00003/*adcps*.dat,GS03FLMA-RIM01-02-ADCPSL003,telemetered,Not Expected,No telemetered data expected (no gliders deployed)
#mi.dataset.driver.ctdmo_ghqr.sio.ctdmo_ghqr_sio_telemetered_driver,/omc_data/whoi/OMC/GS03FLMA/D00003/*ctdmo*.dat,GS03FLMA-RIM01-02-CTDMOG000,telemetered,Not Expected,Wildcard refdes. No telemetered data expected (no gliders deployed)
#,/omc_data/whoi/OMC/GS03FLMA/D00003/*ctdmo*.dat,GS03FLMA-RIM01-02-CTDMOG040,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No telemetered data expected (no gliders deployed)
#,/omc_data/whoi/OMC/GS03FLMA/D00003/*ctdmo*.dat,GS03FLMA-RIM01-02-CTDMOG041,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No telemetered data expected (no gliders deployed)
#,/omc_data/whoi/OMC/GS03FLMA/D00003/*ctdmo*.dat,GS03FLMA-RIM01-02-CTDMOG042,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No telemetered data expected (no gliders deployed)
#,/omc_data/whoi/OMC/GS03FLMA/D00003/*ctdmo*.dat,GS03FLMA-RIM01-02-CTDMOG043,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No telemetered data expected (no gliders deployed)
#,/omc_data/whoi/OMC/GS03FLMA/D00003/*ctdmo*.dat,GS03FLMA-RIM01-02-CTDMOG044,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No telemetered data expected (no gliders deployed)
#,/omc_data/whoi/OMC/GS03FLMA/D00003/*ctdmo*.dat,GS03FLMA-RIM01-02-CTDMOG045,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No telemetered data expected (no gliders deployed)
#,/omc_data/whoi/OMC/GS03FLMA/D00003/*ctdmo*.dat,GS03FLMA-RIM01-02-CTDMOG046,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No telemetered data expected (no gliders deployed)
#,/omc_data/whoi/OMC/GS03FLMA/D00003/*ctdmo*.dat,GS03FLMA-RIM01-02-CTDMOG047,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No telemetered data expected (no gliders deployed)
#,/omc_data/whoi/OMC/GS03FLMA/D00003/*ctdmo*.dat,GS03FLMA-RIM01-02-CTDMOG048,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No telemetered data expected (no gliders deployed)
#,/omc_data/whoi/OMC/GS03FLMA/D00003/*ctdmo*.dat,GS03FLMA-RIM01-02-CTDMOH049,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No telemetered data expected (no gliders deployed)
#,/omc_data/whoi/OMC/GS03FLMA/D00003/*ctdmo*.dat,GS03FLMA-RIM01-02-CTDMOH050,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No telemetered data expected (no gliders deployed)
#,/omc_data/whoi/OMC/GS03FLMA/D00003/*ctdmo*.dat,GS03FLMA-RIM01-02-CTDMOH051,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No telemetered data expected (no gliders deployed)
#mi.dataset.driver.sio_eng.sio.sio_eng_sio_telemetered_driver,/omc_data/whoi/OMC/GS03FLMA/D00003/*.status_1399801.dat,GS03FLMA-RIS01-00-SIOENG000,telemetered,Not Expected,No telemetered data expected (no gliders deployed)
#mi.dataset.driver.dosta_abcdjm.sio.dosta_abcdjm_sio_telemetered_driver,/omc_data/whoi/OMC/GS03FLMA/D00003/*dosta*.dat,GS03FLMA-RIS01-03-DOSTAD000,telemetered,Not Expected,No telemetered data expected (no gliders deployed)
#mi.dataset.driver.phsen_abcdef.sio.phsen_abcdef_sio_telemetered_driver,/omc_data/whoi/OMC/GS03FLMA/D00003/*phsen*.dat,GS03FLMA-RIS01-04-PHSENF000,telemetered,Not Expected,No telemetered data expected (no gliders deployed)
#mi.dataset.driver.flort_dj.sio.flort_dj_sio_telemetered_driver,/omc_data/whoi/OMC/GS03FLMA/D00003/*flort*.dat,GS03FLMA-RIS01-05-FLORTD000,telemetered,Not Expected,No telemetered data expected (no gliders deployed)
