uframe_route,filename_mask,reference_designator,data_source,
Ingest.flort-dj-sio_telemetered,/omc_data/whoi/OMC/GI03FLMA/D00002/*flort*.dat,GI03FLMA-RIS01-05-FLORTD000,telemetered,
Ingest.phsen-abcdef-sio_telemetered,/omc_data/whoi/OMC/GI03FLMA/D00002/*phsen*.dat,GI03FLMA-RIS01-04-PHSENF000,telemetered,
Ingest.dosta-abcdjm-sio_telemetered,/omc_data/whoi/OMC/GI03FLMA/D00002/*dosta*.dat,GI03FLMA-RIS01-03-DOSTAD000,telemetered,
Ingest.adcps-jln-sio_telemetered,/omc_data/whoi/OMC/GI03FLMA/D00002/*adcps*.dat,GI03FLMA-RIM01-02-ADCPSL003,telemetered,
Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GI03FLMA/D00002/*ctdmo*.dat,GI03FLMA-RIM01-02-CTDMOG000,telemetered,
#,,GI03FLMA-RI000-00-CTDMOH000,telemetered,Does not telemeter data
#,,GI03FLMA-RI000-00-CTDMOH700,telemetered,Does not telemeter data
#,,GI03FLMA-RI000-00-CTDMOH400,telemetered,Does not telemeter data
#,,GI03FLMA-RI000-00-CTDMOH100,telemetered,Does not telemeter data
# Ingest.velpt-ab-sio_telemetered,/omc_data/whoi/OMC/GI03FLMA/D00002/*VEL*.DAT,GI03FLMA-RI000-00-VELPTB000,telemetered,Does not telemeter data
# Ingest.velpt-ab-sio_telemetered,/omc_data/whoi/OMC/GI03FLMA/D00002/*VEL*.DAT,GI03FLMA-RI000-00-VELPTB700,telemetered,Does not telemeter data
# Ingest.velpt-ab-sio_telemetered,/omc_data/whoi/OMC/GI03FLMA/D00002/*VEL*.DAT,GI03FLMA-RI000-00-VELPTB400,telemetered,Does not telemeter data
# Ingest.velpt-ab-sio_telemetered,/omc_data/whoi/OMC/GI03FLMA/D00002/*VEL*.DAT,GI03FLMA-RI000-00-VELPTB100,telemetered,Does not telemeter data
Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GI03FLMA/D00002/*status_1237201.dat,GI03FLMA-RIS01-00-SIOENG000,telemetered,
Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GI03FLMA/D00002/*status_1399301.dat,GI03FLMA-RIM01-00-SIOENG000,telemetered,
