uframe_route,filename_mask,reference_designator,data_source
Ingest.glider-eng-glider_telemetered,/omc_data/whoi/OMC/CP05MOAS-GL001/D00001/merged-from-glider/cp_*.mrg,CP05MOAS-GL001-00-ENG000000,recovered
Ingest.parad-m-glider_telemetered,/omc_data/whoi/OMC/CP05MOAS-GL001/D00001/merged-from-glider/cp_*.mrg,CP05MOAS-GL001-05-PARADM000,recovered
Ingest.flort-m-glider_telemetered,/omc_data/whoi/OMC/CP05MOAS-GL001/D00001/merged-from-glider/cp_*.mrg,CP05MOAS-GL001-02-FLORTM000,recovered
Ingest.dosta-abcdjm-glider_telemetered,/omc_data/whoi/OMC/CP05MOAS-GL001/D00001/merged-from-glider/cp_*.mrg,CP05MOAS-GL001-04-DOSTAM000,recovered
Ingest.ctdgv-m-glider_telemetered,/omc_data/whoi/OMC/CP05MOAS-GL001/D00001/merged-from-glider/cp_*.mrg,CP05MOAS-GL001-03-CTDGVM000,recovered
Ingest.glider-eng-glider_telemetered,/omc_data/whoi/OMC/CP05MOAS-GL001/D00002/merged-from-glider/cp_*.mrg,CP05MOAS-GL001-00-ENG000000,recovered
Ingest.parad-m-glider_telemetered,/omc_data/whoi/OMC/CP05MOAS-GL001/D00002/merged-from-glider/cp_*.mrg,CP05MOAS-GL001-05-PARADM000,recovered
Ingest.flort-m-glider_telemetered,/omc_data/whoi/OMC/CP05MOAS-GL001/D00002/merged-from-glider/cp_*.mrg,CP05MOAS-GL001-02-FLORTM000,recovered
Ingest.dosta-abcdjm-glider_telemetered,/omc_data/whoi/OMC/CP05MOAS-GL001/D00002/merged-from-glider/cp_*.mrg,CP05MOAS-GL001-04-DOSTAM000,recovered
Ingest.ctdgv-m-glider_telemetered,/omc_data/whoi/OMC/CP05MOAS-GL001/D00002/merged-from-glider/cp_*.mrg,CP05MOAS-GL001-03-CTDGVM000,recovered
Ingest.glider-eng-glider_telemetered,/omc_data/whoi/OMC/CP05MOAS-GL001/D00003/merged-from-glider/cp_*.mrg,CP05MOAS-GL001-00-ENG000000,recovered
Ingest.parad-m-glider_telemetered,/omc_data/whoi/OMC/CP05MOAS-GL001/D00003/merged-from-glider/cp_*.mrg,CP05MOAS-GL001-05-PARADM000,recovered
Ingest.flort-m-glider_telemetered,/omc_data/whoi/OMC/CP05MOAS-GL001/D00003/merged-from-glider/cp_*.mrg,CP05MOAS-GL001-02-FLORTM000,recovered
Ingest.dosta-abcdjm-glider_telemetered,/omc_data/whoi/OMC/CP05MOAS-GL001/D00003/merged-from-glider/cp_*.mrg,CP05MOAS-GL001-04-DOSTAM000,recovered
Ingest.ctdgv-m-glider_telemetered,/omc_data/whoi/OMC/CP05MOAS-GL001/D00003/merged-from-glider/cp_*.mrg,CP05MOAS-GL001-03-CTDGVM000,recovered

