uframe_route,filename_mask,reference_designator,data_source,status,notes
#,,GS02HYPM-MPM01-02-ZPLSGA009,recovered_inst,Not Deployed,Not deployed
#,,GS02HYPM-MPM01-02-ZPLSGA010,recovered_inst,Not Deployed,Not deployed
Ingest.sio-eng-sio_recovered,/omc_data/whoi/OMC/GS02HYPM/R00002/cg_data/MSIOC_sn14871/STATUS/STA*.DA?,GS02HYPM-RIM01-00-SIOENG000,recovered_host,Available,
Ingest.ctdmo-ghqr-sio_ctRecovered,/omc_data/whoi/OMC/GS02HYPM/R00002/cg_data/MSIOC_sn14871/CTD/*.DAT,GS02HYPM-RIM01-02-CTDMOG039,recovered_host,Available,
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS02HYPM/R00002/instruments/CTDMO_sn37-13644/*.hex,GS02HYPM-RIM01-02-CTDMOG039,recovered_inst,Available,
Ingest.wfp-eng-stc-imodem_recovered,/omc_data/whoi/OMC/GS02HYPM/R00002/instruments/GWFP_sn13452-01/00000/E*.DA?,GS02HYPM-WFP02-00-WFPENG000,recovered_wfp,Available,
Ingest.flord-l-wfp_recovered,/omc_data/whoi/OMC/GS02HYPM/R00002/instruments/GWFP_sn13452-01/00000/E*.DA?,GS02HYPM-WFP02-01-FLORDL000,recovered_wfp,Available,
Ingest.dosta-ln-wfp_recovered,/omc_data/whoi/OMC/GS02HYPM/R00002/instruments/GWFP_sn13452-01/00000/E*.DA?,GS02HYPM-WFP02-03-DOSTAL000,recovered_wfp,Available,
Ingest.ctdpf-ckl-wfp_recovered,/omc_data/whoi/OMC/GS02HYPM/R00002/instruments/GWFP_sn13452-01/00000/C*.DA?,GS02HYPM-WFP02-04-CTDPFL000,recovered_wfp,Available,
Ingest.vel3d-l-wfp_recovered,/omc_data/whoi/OMC/GS02HYPM/R00002/instruments/GWFP_sn13452-01/00000/A*.DA?,GS02HYPM-WFP02-05-VEL3DL000,recovered_wfp,Available,
Ingest.wfp-eng-stc-imodem_recovered,/omc_data/whoi/OMC/GS02HYPM/R00002/instruments/GWFP_sn13452-02/00000/E*.DA?,GS02HYPM-WFP03-00-WFPENG000,recovered_wfp,Available,
Ingest.flord-l-wfp_recovered,/omc_data/whoi/OMC/GS02HYPM/R00002/instruments/GWFP_sn13452-02/00000/E*.DA?,GS02HYPM-WFP03-01-FLORDL000,recovered_wfp,Available,
Ingest.dosta-ln-wfp_recovered,/omc_data/whoi/OMC/GS02HYPM/R00002/instruments/GWFP_sn13452-02/00000/E*.DA?,GS02HYPM-WFP03-03-DOSTAL000,recovered_wfp,Available,
Ingest.ctdpf-ckl-wfp_recovered,/omc_data/whoi/OMC/GS02HYPM/R00002/instruments/GWFP_sn13452-02/00000/C*.DA?,GS02HYPM-WFP03-04-CTDPFL000,recovered_wfp,Available,
Ingest.vel3d-l-wfp_recovered,/omc_data/whoi/OMC/GS02HYPM/R00002/instruments/GWFP_sn13452-02/00000/A*.DA?,GS02HYPM-WFP03-05-VEL3DL000,recovered_wfp,Available,
