uframe_route,filename_mask,reference_designator,data_source,status,notes
#,,GP02HYPM-MPM01-02-ZPLSGA009,telemetered,Not Deployed,Not deployed
#,,GP02HYPM-MPM01-02-ZPLSGA010,telemetered,Not Deployed,Not deployed
Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GP02HYPM/D00001/*status*.dat,GP02HYPM-RIM01-00-SIOENG000,telemetered,Available,
#Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GP02HYPM/D00001/*ctdmo*.dat,GP02HYPM-RIM01-02-CTDMOG039,telemetered,Not Expected,"check cruise report for the 3rd deployment. Reasons may be: failed or not recorded. This deployment was not conducted by WHOI. Also, nominal imodem ID is 39, but actual for this deployment is 61; parser will overwrite 039 from ingest .csv file with 061"
Ingest.wfp-eng-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GP02HYPM/D00001/*.we_wfp_1236820.dat,GP02HYPM-WFP02-00-WFPENG000,telemetered,Available,
Ingest.flord-l-wfp-sio_telemetered,/omc_data/whoi/OMC/GP02HYPM/D00001/*.we_wfp_1236820.dat,GP02HYPM-WFP02-01-FLORDL000,telemetered,Available,
Ingest.dosta-ln-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GP02HYPM/D00001/*.we_wfp_1236820.dat,GP02HYPM-WFP02-03-DOSTAL000,telemetered,Available,
Ingest.ctdpf-ckl-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GP02HYPM/D00001/*.wc_wfp_1236820.dat,GP02HYPM-WFP02-04-CTDPFL000,telemetered,Available,
Ingest.vel3d-l-wfp-sio_telemetered,/omc_data/whoi/OMC/GP02HYPM/D00001/*.wa_wfp_1236820.dat,GP02HYPM-WFP02-05-VEL3DL000,telemetered,Available,
Ingest.wfp-eng-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GP02HYPM/D00001/*.we_wfp_1236822.dat,GP02HYPM-WFP03-00-WFPENG000,telemetered,Available,
Ingest.flord-l-wfp-sio_telemetered,/omc_data/whoi/OMC/GP02HYPM/D00001/*.we_wfp_1236822.dat,GP02HYPM-WFP03-01-FLORDL000,telemetered,Available,
Ingest.dosta-ln-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GP02HYPM/D00001/*.we_wfp_1236822.dat,GP02HYPM-WFP03-03-DOSTAL000,telemetered,Available,
Ingest.ctdpf-ckl-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GP02HYPM/D00001/*.wc_wfp_1236822.dat,GP02HYPM-WFP03-04-CTDPFL000,telemetered,Available,
Ingest.vel3d-l-wfp-sio_telemetered,/omc_data/whoi/OMC/GP02HYPM/D00001/*.wa_wfp_1236822.dat,GP02HYPM-WFP03-05-VEL3DL000,telemetered,Available,
